id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
62,Coco,Animation,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",81.0,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171,"Animation Lee Unkrich Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt"
63,Django Unchained,Drama,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",81.0,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,1357682,"Drama Quentin Tarantino With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington"
64,The Dark Knight Rises,Action,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",78.0,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346,"Action Christopher Nolan Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane. Christian Bale Tom Hardy Anne Hathaway Gary Oldman"
65,3 Idiots,Comedy,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",67.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,344445,"Comedy Rajkumar Hirani Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"". Aamir Khan Madhavan Mona Singh Sharman Joshi"
66,Taare Zameen Par,Drama,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",79.0,Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,168895,"Drama Aamir Khan An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school. Amole Gupte Darsheel Safary Aamir Khan Tisca Chopra"
67,WALL·E,Animation,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",95.0,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,999790,"Animation Andrew Stanton In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind. Ben Burtt Elissa Knight Jeff Garlin Fred Willard"
68,The Lives of Others,Drama,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",89.0,Florian Henckel von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,358685,"Drama Florian Henckel von Donnersmarck In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives. Ulrich Mühe Martina Gedeck Sebastian Koch Ulrich Tukur"
69,Oldeuboi,Action,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",77.0,Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,515451,"Action Chan-wook Park After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days. Choi Min-sik Yoo Ji-Tae Kang Hye-jeong Kim Byeong-Ok"
70,Memento,Mystery,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,80.0,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,1125712,Mystery Christopher Nolan A man with short-term memory loss attempts to track down his wife's murderer. Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior
71,Mononoke-hime,Animation,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",76.0,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,343171,"Animation Hayao Miyazaki On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime. Yôji Matsuda Yuriko Ishida Yûko Tanaka Billy Crudup"
72,Once Upon a Time in America,Crime,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",79.0,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,311365,"Crime Sergio Leone A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life. Robert De Niro James Woods Elizabeth McGovern Treat Williams"
73,Raiders of the Lost Ark,Action,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",85.0,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,884112,"Action Steven Spielberg In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers. Harrison Ford Karen Allen Paul Freeman John Rhys-Davies"
74,The Shining,Drama,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",66.0,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,898237,"Drama Stanley Kubrick A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future. Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers"
75,Apocalypse Now,Drama,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,94.0,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,606398,Drama Francis Ford Coppola A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god. Martin Sheen Marlon Brando Robert Duvall Frederic Forrest
76,Alien,Horror,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",89.0,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,787806,"Horror Ridley Scott After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun. Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright"
77,Anand,Drama,8.4,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",79.0,Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,30273,"Drama Hrishikesh Mukherjee The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend. Rajesh Khanna Amitabh Bachchan Sumita Sanyal Ramesh Deo"
78,Tengoku to jigoku,Crime,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,79.0,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,34357,Crime Akira Kurosawa An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom. Toshirô Mifune Yutaka Sada Tatsuya Nakadai Kyôko Kagawa
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,97.0,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,450474,Comedy Stanley Kubrick An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop. Peter Sellers George C. Scott Sterling Hayden Keenan Wynn
80,Witness for the Prosecution,Crime,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,79.0,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,108862,Crime Billy Wilder A veteran British barrister must defend his client in a murder trial that has surprise after surprise. Tyrone Power Marlene Dietrich Charles Laughton Elsa Lanchester
81,Paths of Glory,Drama,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",90.0,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,178092,"Drama Stanley Kubrick After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them. Kirk Douglas Ralph Meeker Adolphe Menjou George Macready"
82,Rear Window,Mystery,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,100.0,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,444074,Mystery Alfred Hitchcock A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder. James Stewart Grace Kelly Wendell Corey Thelma Ritter
83,Sunset Blvd.,Drama,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,79.0,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,201632,Drama Billy Wilder A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return. William Holden Gloria Swanson Erich von Stroheim Nancy Olson
84,The Great Dictator,Comedy,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,79.0,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,203150,Comedy Charles Chaplin Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime. Charles Chaplin Paulette Goddard Jack Oakie Reginald Gardiner
85,1917,Drama,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",78.0,Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844,"Drama Sam Mendes April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap. Dean-Charles Chapman George MacKay Daniel Mays Colin Firth"
86,Tumbbad,Drama,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,79.0,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,27793,Drama Rahi Anil Barve A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born. Anand Gandhi Adesh Prasad Sohum Shah Jyoti Malshe
87,Andhadhun,Crime,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",79.0,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,71875,"Crime Sriram Raghavan A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of. Ayushmann Khurrana Tabu Radhika Apte Anil Dhawan"
88,Drishyam,Crime,8.3,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,79.0,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba,30722,Crime Jeethu Joseph A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime. Mohanlal Meena Asha Sharath Ansiba
